É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/04 19:09:16

,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá,ìåçLìá
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm)
,,,,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2015/1/1,-1.4,8,1,1.8,8,1,-3.7,8,1,1.5,8,1
2015/1/2,-1.8,8,1,2.9,8,1,-5.6,8,1,2.5,8,1
2015/1/3,-0.8,8,1,5.0,8,1,-6.8,8,1,0.0,8,1
2015/1/4,3.2,8,1,9.8,8,1,-1.5,8,1,0.0,8,1
2015/1/5,4.3,8,1,11.5,8,1,-1.8,8,1,0.0,8,1
2015/1/6,6.6,8,1,11.4,8,1,3.3,8,1,10.5,8,1
2015/1/7,3.5,8,1,6.0,8,1,1.8,8,1,0.0,8,1
2015/1/8,2.9,8,1,5.6,8,1,0.8,8,1,0.0,8,1
2015/1/9,2.4,8,1,6.5,8,1,-1.6,8,1,0.0,8,1
2015/1/10,3.2,8,1,7.8,8,1,-2.7,8,1,0.0,8,1
2015/1/11,2.4,8,1,9.1,8,1,-4.1,8,1,0.0,8,1
2015/1/12,2.3,8,1,5.3,8,1,0.5,8,1,0.0,8,1
2015/1/13,2.9,8,1,9.3,8,1,-2.1,8,1,0.0,8,1
2015/1/14,3.4,8,1,7.5,8,1,-2.5,8,1,1.0,8,1
2015/1/15,6.0,8,1,7.7,8,1,3.9,8,1,31.5,8,1
2015/1/16,6.2,8,1,9.8,8,1,1.9,8,1,0.0,8,1
2015/1/17,3.2,8,1,7.2,8,1,1.1,8,1,2.0,8,1
2015/1/18,1.2,8,1,7.2,8,1,-4.3,8,1,0.0,8,1
2015/1/19,4.1,8,1,7.0,8,1,0.5,8,1,0.0,8,1
2015/1/20,3.8,8,1,10.6,8,1,-0.9,8,1,0.0,8,1
2015/1/21,4.1,8,1,9.3,8,1,-0.8,8,1,7.0,8,1
2015/1/22,6.1,8,1,10.2,8,1,4.4,8,1,4.0,8,1
2015/1/23,3.5,8,1,5.5,8,1,-2.4,8,1,0.0,8,1
2015/1/24,1.6,8,1,9.8,8,1,-4.7,8,1,0.0,8,1
2015/1/25,3.3,8,1,11.0,8,1,-2.0,8,1,0.0,8,1
2015/1/26,5.0,8,1,6.6,8,1,1.1,8,1,24.0,8,1
2015/1/27,7.2,8,1,12.3,8,1,3.4,8,1,0.0,8,1
2015/1/28,2.2,8,1,5.4,8,1,-1.9,8,1,0.0,8,1
2015/1/29,0.2,8,1,4.0,8,1,-3.5,8,1,0.5,8,1
2015/1/30,2.5,8,1,6.2,8,1,-0.1,8,1,13.5,8,1
2015/1/31,1.4,8,1,3.5,8,1,-0.4,8,1,0.0,8,1
2015/2/1,0.8,8,1,5.4,8,1,-3.3,8,1,0.0,8,1
2015/2/2,0.1,8,1,6.0,8,1,-4.8,8,1,0.0,8,1
2015/2/3,1.4,8,1,7.1,8,1,-3.2,8,1,0.0,8,1
2015/2/4,1.6,8,1,7.1,8,1,-4.0,8,1,0.0,8,1
2015/2/5,2.5,8,1,6.4,8,1,-0.7,8,1,4.0,8,1
2015/2/6,1.9,8,1,6.6,8,1,-2.4,8,1,0.0,8,1
2015/2/7,2.3,8,1,7.9,8,1,-3.7,8,1,0.0,8,1
2015/2/8,1.8,8,1,7.5,8,1,-4.0,8,1,1.0,8,1
2015/2/9,-1.8,8,1,1.4,8,1,-4.2,8,1,0.0,8,1
2015/2/10,0.8,8,1,6.2,8,1,-2.8,8,1,0.0,8,1
2015/2/11,4.2,8,1,9.8,8,1,-1.8,8,1,0.0,8,1
2015/2/12,5.0,8,1,9.4,8,1,0.4,8,1,0.0,8,1
2015/2/13,1.4,8,1,4.9,8,1,-2.8,8,1,0.0,8,1
2015/2/14,0.8,8,1,9.2,8,1,-6.0,8,1,0.0,8,1
2015/2/15,3.8,8,1,12.3,8,1,-4.1,8,1,0.0,8,1
2015/2/16,5.0,8,1,9.5,8,1,1.7,8,1,4.5,8,1
2015/2/17,6.1,8,1,11.3,8,1,3.5,8,1,1.5,8,1
2015/2/18,3.7,8,1,7.4,8,1,0.2,8,1,3.0,8,1
2015/2/19,2.9,8,1,6.3,8,1,0.8,8,1,0.0,8,1
2015/2/20,2.7,8,1,10.0,8,1,-2.4,8,1,0.0,8,1
2015/2/21,3.2,8,1,9.7,8,1,-4.3,8,1,5.0,8,1
2015/2/22,8.0,8,1,10.4,8,1,5.1,8,1,6.5,8,1
2015/2/23,6.4,8,1,12.7,8,1,0.8,8,1,0.0,8,1
2015/2/24,5.0,8,1,13.1,8,1,-0.5,8,1,0.0,8,1
2015/2/25,5.8,8,1,12.8,8,1,0.6,8,1,0.0,8,1
2015/2/26,6.4,8,1,8.1,8,1,4.2,8,1,0.0,8,1
2015/2/27,3.5,8,1,7.3,8,1,-0.9,8,1,0.0,8,1
2015/2/28,3.7,8,1,9.3,8,1,-3.0,8,1,0.0,8,1
2015/3/1,4.5,8,1,6.8,8,1,2.3,8,1,9.5,8,1
2015/3/2,4.8,8,1,11.3,8,1,-0.9,8,1,0.0,8,1
2015/3/3,2.5,8,1,5.5,8,1,-1.5,8,1,30.0,8,1
2015/3/4,4.5,8,1,9.7,8,1,0.1,8,1,0.0,8,1
2015/3/5,2.8,8,1,8.7,8,1,-2.4,8,1,0.0,8,1
2015/3/6,3.7,8,1,7.7,8,1,-2.0,8,1,0.0,8,1
2015/3/7,5.2,8,1,6.8,8,1,3.4,8,1,3.5,8,1
2015/3/8,6.7,8,1,13.6,8,1,0.2,8,1,0.0,8,1
2015/3/9,4.8,8,1,6.9,8,1,0.8,8,1,34.5,8,1
2015/3/10,-0.5,8,1,5.2,8,1,-4.1,8,1,0.0,8,1
2015/3/11,2.3,8,1,7.5,8,1,-4.5,8,1,0.0,8,1
2015/3/12,3.8,8,1,10.1,8,1,-3.0,8,1,0.0,8,1
2015/3/13,4.9,8,1,12.5,8,1,-3.2,8,1,0.0,8,1
2015/3/14,7.1,8,1,12.9,8,1,3.1,8,1,2.0,8,1
2015/3/15,7.4,8,1,11.6,8,1,3.7,8,1,0.0,8,1
2015/3/16,9.1,8,1,16.8,8,1,3.3,8,1,0.0,8,1
2015/3/17,11.7,8,1,20.7,8,1,3.0,8,1,0.0,8,1
2015/3/18,10.9,8,1,13.7,8,1,6.1,8,1,23.0,8,1
2015/3/19,13.6,8,1,16.0,8,1,8.1,8,1,11.5,8,1
2015/3/20,11.3,8,1,18.3,8,1,4.0,8,1,0.0,8,1
2015/3/21,11.5,8,1,20.0,8,1,5.3,8,1,0.0,8,1
2015/3/22,9.1,8,1,17.5,8,1,2.0,8,1,0.0,8,1
2015/3/23,7.0,8,1,12.6,8,1,0.1,8,1,0.0,8,1
2015/3/24,4.2,8,1,9.9,8,1,-1.4,8,1,0.0,8,1
2015/3/25,4.4,8,1,12.5,8,1,-2.9,8,1,0.0,8,1
2015/3/26,5.2,8,1,14.7,8,1,-3.6,8,1,0.0,8,1
2015/3/27,7.8,8,1,18.5,8,1,-2.8,8,1,0.0,8,1
2015/3/28,11.8,8,1,19.0,8,1,3.0,8,1,0.0,8,1
2015/3/29,14.0,8,1,21.1,8,1,7.1,8,1,0.0,8,1
2015/3/30,11.8,8,1,20.7,8,1,3.4,8,1,0.0,8,1
2015/3/31,13.3,8,1,20.8,8,1,4.7,8,1,0.5,8,1
2015/4/1,15.3,8,1,19.7,8,1,11.7,8,1,6.5,8,1
2015/4/2,13.2,8,1,17.3,8,1,9.0,8,1,0.0,8,1
2015/4/3,17.1,8,1,19.8,8,1,12.5,8,1,35.0,8,1
2015/4/4,16.8,8,1,22.2,8,1,14.4,8,1,3.5,8,1
2015/4/5,18.3,8,1,22.7,8,1,15.6,8,1,13.0,8,1
2015/4/6,14.6,8,1,16.8,8,1,9.7,8,1,19.5,8,1
2015/4/7,9.0,8,1,10.8,8,1,6.8,8,1,0.5,8,1
2015/4/8,7.4,8,1,13.1,8,1,4.0,8,1,3.0,8,1
2015/4/9,7.9,8,1,12.9,8,1,1.4,8,1,0.5,8,1
2015/4/10,10.1,8,1,11.7,8,1,8.4,8,1,31.5,8,1
2015/4/11,11.8,8,1,18.1,8,1,5.4,8,1,0.0,8,1
2015/4/12,10.8,8,1,16.8,8,1,1.8,8,1,0.0,8,1
2015/4/13,12.0,8,1,13.2,8,1,9.3,8,1,2.0,8,1
2015/4/14,12.2,8,1,17.1,8,1,7.1,8,1,0.5,8,1
2015/4/15,10.4,8,1,14.9,8,1,6.6,8,1,9.5,8,1
2015/4/16,13.8,8,1,18.4,8,1,5.3,8,1,0.0,8,1
2015/4/17,12.7,8,1,18.0,8,1,4.3,8,1,0.0,8,1
2015/4/18,12.5,8,1,21.6,8,1,1.2,8,1,0.0,8,1
2015/4/19,14.4,8,1,17.6,8,1,12.4,8,1,8.0,8,1
2015/4/20,15.1,8,1,20.8,8,1,10.2,8,1,21.5,8,1
2015/4/21,12.5,8,1,20.1,8,1,6.9,8,1,0.0,8,1
2015/4/22,12.7,8,1,22.1,8,1,4.4,8,1,0.0,8,1
2015/4/23,13.8,8,1,23.3,8,1,3.6,8,1,0.0,8,1
2015/4/24,14.1,8,1,22.5,8,1,5.6,8,1,0.0,8,1
2015/4/25,14.6,8,1,22.3,8,1,5.9,8,1,0.0,8,1
2015/4/26,15.5,8,1,24.8,8,1,5.6,8,1,0.0,8,1
2015/4/27,17.0,8,1,25.8,8,1,7.0,8,1,0.0,8,1
2015/4/28,17.2,8,1,23.0,8,1,11.0,8,1,0.0,8,1
2015/4/29,17.8,8,1,22.6,8,1,12.8,8,1,0.0,8,1
2015/4/30,16.1,8,1,20.7,8,1,12.3,8,1,1.5,8,1
2015/5/1,18.4,8,1,26.8,8,1,11.0,8,1,0.0,8,1
2015/5/2,19.2,8,1,27.9,8,1,10.6,8,1,0.0,8,1
2015/5/3,16.1,8,1,18.8,8,1,12.4,8,1,9.0,8,1
2015/5/4,18.0,8,1,23.3,8,1,13.2,8,1,1.5,8,1
2015/5/5,15.8,8,1,23.2,8,1,9.2,8,1,0.0,8,1
2015/5/6,16.2,8,1,23.0,8,1,7.6,8,1,0.0,8,1
2015/5/7,16.6,8,1,22.1,8,1,12.9,8,1,8.0,8,1
2015/5/8,17.8,8,1,25.0,8,1,9.9,8,1,0.0,8,1
2015/5/9,16.2,8,1,22.0,8,1,12.9,8,1,4.5,8,1
2015/5/10,17.2,8,1,24.7,8,1,9.4,8,1,0.0,8,1
2015/5/11,15.6,5,1,22.7,5,1,9.1,5,1,0.0,8,1
2015/5/12,13.7,8,1,16.5,8,1,8.5,8,1,25.0,8,1
2015/5/13,16.6,8,1,24.0,8,1,8.5,8,1,0.0,8,1
2015/5/14,15.4,8,1,20.8,8,1,9.3,8,1,3.0,8,1
2015/5/15,20.2,8,1,26.8,8,1,12.3,8,1,0.0,8,1
2015/5/16,18.7,8,1,21.5,8,1,12.0,8,1,2.5,8,1
2015/5/17,17.6,8,1,26.0,8,1,8.6,8,1,0.0,8,1
2015/5/18,16.2,8,1,20.7,8,1,13.0,8,1,26.5,8,1
2015/5/19,20.7,8,1,28.8,8,1,15.5,8,1,1.0,8,1
2015/5/20,18.4,8,1,25.9,8,1,12.6,8,1,0.0,8,1
2015/5/21,16.4,8,1,24.4,8,1,9.6,8,1,0.0,8,1
2015/5/22,18.2,8,1,25.5,8,1,9.8,8,1,0.0,8,1
2015/5/23,17.8,8,1,21.6,8,1,14.4,8,1,0.0,8,1
2015/5/24,19.0,8,1,26.5,8,1,13.4,8,1,0.0,8,1
2015/5/25,19.9,8,1,27.8,8,1,13.2,8,1,0.0,8,1
2015/5/26,21.1,8,1,28.9,8,1,13.3,8,1,0.0,8,1
2015/5/27,21.5,8,1,30.7,8,1,12.3,8,1,0.0,8,1
2015/5/28,20.0,8,1,26.3,8,1,12.8,8,1,0.0,8,1
2015/5/29,21.4,8,1,29.1,8,1,13.1,8,1,0.0,8,1
2015/5/30,20.1,8,1,24.6,8,1,16.1,8,1,3.5,8,1
2015/5/31,21.3,8,1,26.6,8,1,16.1,8,1,0.0,8,1
2015/6/1,21.2,8,1,28.5,8,1,13.0,8,1,0.0,8,1
2015/6/2,21.9,8,1,27.6,8,1,17.5,8,1,4.5,8,1
2015/6/3,19.8,8,1,24.1,8,1,11.7,8,1,40.5,8,1
2015/6/4,18.0,8,1,26.2,8,1,9.8,8,1,0.0,8,1
2015/6/5,14.2,8,1,15.9,8,1,12.9,8,1,16.5,8,1
2015/6/6,17.6,8,1,23.0,8,1,11.7,8,1,0.0,8,1
2015/6/7,17.8,8,1,23.3,8,1,11.3,8,1,0.0,8,1
2015/6/8,18.0,8,1,21.0,8,1,14.3,8,1,9.0,8,1
2015/6/9,20.3,8,1,23.1,8,1,17.0,8,1,13.5,8,1
2015/6/10,21.2,8,1,28.0,8,1,15.8,8,1,0.0,8,1
2015/6/11,19.2,8,1,20.3,8,1,17.8,8,1,26.5,8,1
2015/6/12,22.9,8,1,28.6,8,1,16.6,8,1,0.5,8,1
2015/6/13,21.0,8,1,28.5,8,1,15.1,8,1,0.0,8,1
2015/6/14,21.1,8,1,26.1,8,1,17.3,8,1,0.0,8,1
2015/6/15,21.6,8,1,27.8,8,1,16.1,8,1,0.0,8,1
2015/6/16,20.9,8,1,24.2,8,1,18.6,8,1,4.0,8,1
2015/6/17,21.4,8,1,26.7,8,1,16.2,8,1,0.0,8,1
2015/6/18,19.5,8,1,20.8,8,1,18.2,8,1,17.0,8,1
2015/6/19,18.7,8,1,20.9,8,1,17.2,8,1,3.0,8,1
2015/6/20,21.2,8,1,26.0,8,1,17.5,8,1,0.0,8,1
2015/6/21,21.6,8,1,27.9,8,1,18.0,8,1,1.0,8,1
2015/6/22,20.1,8,1,24.0,8,1,16.7,8,1,0.0,8,1
2015/6/23,21.9,8,1,27.1,8,1,16.6,8,1,0.0,8,1
2015/6/24,22.5,8,1,28.3,8,1,17.3,8,1,0.0,8,1
2015/6/25,23.4,8,1,27.5,8,1,19.7,8,1,0.5,8,1
2015/6/26,21.7,8,1,24.6,8,1,20.2,8,1,65.0,8,1
2015/6/27,20.7,8,1,23.0,8,1,17.0,8,1,0.0,8,1
2015/6/28,20.4,8,1,26.1,8,1,15.5,8,1,0.0,8,1
2015/6/29,20.2,8,1,27.4,8,1,12.6,8,1,0.0,8,1
2015/6/30,20.0,8,1,24.4,8,1,18.1,8,1,10.0,8,1
2015/7/1,21.9,8,1,25.7,8,1,18.2,8,1,26.5,8,1
2015/7/2,21.0,8,1,27.2,8,1,15.4,8,1,0.0,8,1
2015/7/3,22.1,8,1,28.1,8,1,16.4,8,1,0.0,8,1
2015/7/4,19.3,8,1,22.0,8,1,17.7,8,1,10.0,8,1
2015/7/5,20.2,8,1,24.3,8,1,16.4,8,1,0.0,8,1
2015/7/6,20.7,8,1,23.6,8,1,17.9,8,1,0.0,8,1
2015/7/7,20.9,8,1,22.9,8,1,18.9,8,1,14.0,8,1
2015/7/8,23.4,8,1,26.4,8,1,21.0,8,1,2.5,8,1
2015/7/9,25.3,8,1,30.0,8,1,22.4,8,1,0.0,8,1
2015/7/10,26.4,8,1,32.3,8,1,21.9,8,1,0.0,8,1
2015/7/11,26.0,8,1,31.4,8,1,22.4,8,1,0.0,8,1
2015/7/12,25.6,8,1,30.5,8,1,23.2,8,1,0.0,8,1
2015/7/13,26.3,8,1,28.7,8,1,24.2,8,1,1.5,8,1
2015/7/14,25.1,8,1,28.9,8,1,22.3,8,1,21.0,8,1
2015/7/15,26.3,8,1,31.3,8,1,20.8,8,1,0.0,8,1
2015/7/16,26.3,8,1,31.0,8,1,23.9,8,1,0.0,8,1
2015/7/17,22.7,8,1,25.4,8,1,19.8,8,1,1.0,8,1
2015/7/18,23.4,8,1,28.6,8,1,19.3,8,1,0.0,8,1
2015/7/19,24.8,8,1,30.0,8,1,21.4,8,1,0.5,8,1
2015/7/20,25.5,8,1,31.1,8,1,22.5,8,1,1.5,8,1
2015/7/21,25.5,8,1,30.2,8,1,23.0,8,1,5.5,8,1
2015/7/22,23.5,8,1,25.2,8,1,22.3,8,1,19.0,8,1
2015/7/23,23.4,8,1,26.2,8,1,21.9,8,1,2.0,8,1
2015/7/24,25.2,8,1,29.5,8,1,22.0,8,1,0.0,8,1
2015/7/25,25.5,8,1,31.1,8,1,20.2,8,1,0.0,8,1
2015/7/26,26.1,8,1,31.3,8,1,19.7,8,1,0.0,8,1
2015/7/27,25.5,8,1,30.0,8,1,22.8,8,1,2.0,8,1
2015/7/28,25.7,8,1,30.9,8,1,21.7,8,1,0.0,8,1
2015/7/29,26.3,8,1,31.3,8,1,21.5,8,1,0.0,8,1
2015/7/30,28.0,8,1,34.5,8,1,22.6,8,1,0.0,8,1
2015/7/31,27.7,8,1,33.7,8,1,22.5,8,1,0.0,8,1
2015/8/1,27.7,8,1,35.3,8,1,21.7,8,1,0.0,8,1
2015/8/2,27.4,8,1,34.2,8,1,21.6,8,1,0.0,8,1
2015/8/3,27.3,8,1,34.0,8,1,21.5,8,1,0.0,8,1
2015/8/4,27.1,8,1,33.4,8,1,21.5,8,1,0.0,8,1
2015/8/5,27.2,8,1,33.8,8,1,21.8,8,1,0.0,8,1
2015/8/6,27.6,8,1,34.2,8,1,21.5,8,1,0.0,8,1
2015/8/7,26.2,8,1,33.4,8,1,22.4,8,1,18.0,8,1
2015/8/8,27.2,8,1,33.2,8,1,21.8,8,1,0.0,8,1
2015/8/9,26.9,8,1,33.5,8,1,22.6,8,1,0.0,8,1
2015/8/10,27.4,8,1,34.5,8,1,21.6,8,1,0.0,8,1
2015/8/11,27.2,8,1,32.8,8,1,22.5,8,1,0.0,8,1
2015/8/12,23.1,8,1,25.8,8,1,21.1,8,1,22.5,8,1
